Title: The Star Formation Histories of Local Group Dwarf Galaxies I. 
       Hubble Space Telescope / Wide Field Planetary Camera 2 Observations 
Authors: Weisz D.R., Dolphin A.E., Skillman E.D., Holtzman J., 
         Gilbert K.M., Dalcanton J.J., Williams B.F. 
Table: Star Formation Histories of each WFPC2 Field
================================================================================
Byte-by-byte Description of file: apj495810t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label     Explanations
--------------------------------------------------------------------------------
   1-  17 A17    ---         ID        Galaxy identifier
  19-  24 A6     ---         Field     Field identifier
  26-  31 F6.3   10+6solMass TMass     Total mass formed (1)
 551- 554 F4.2   [yr]        Lrf9.15   Random uncertainty 16th percentile in f9.15
 556- 559 F4.2   [yr]        Ltf9.15   Total uncertainty 16th percentile in f9.15
 561- 564 F4.2   [yr]        f9.1      Mass fraction formed prior to log(t) = 9.1
                                        from best fit SFH (2)
 566- 569 F4.2   [yr]        Urf9.1    Random uncertainty 84th percentile in f9.1
 571- 574 F4.2   [yr]        Utf9.1    Total uncertainty 84th percentile in f9.1
 576- 579 F4.2   [yr]        Lrf9.1    Random uncertainty 16th percentile in f9.1
 581- 584 F4.2   [yr]        Ltf9.1    Total uncertainty 16th percentile in f9.1
 586- 589 F4.2   [yr]        f9.05     Mass fraction formed prior to log(t) = 9.05
                                        from best fit SFH (2)
 591- 594 F4.2   [yr]        Urf9.05   Random uncertainty 84th percentile in f9.05
 596- 599 F4.2   [yr]        Utf9.05   Total uncertainty 84th percentile in f9.05
 601- 604 F4.2   [yr]        Lrf9.05   Random uncertainty 16th percentile in f9.05
 606- 609 F4.2   [yr]        Ltf9.05   Total uncertainty 16th percentile in f9.05
 611- 614 F4.2   [yr]        f9.0      Mass fraction formed prior to log(t) = 9.0
                                        from best fit SFH (2)
 616- 619 F4.2   [yr]        Urf9.0    Random uncertainty 84th percentile in f9.0
 621- 624 F4.2   [yr]        Utf9.0    Total uncertainty 84th percentile in f9.0
 626- 629 F4.2   [yr]        Lrf9.0    Random uncertainty 16th percentile in f9.0
 631- 634 F4.2   [yr]        Ltf9.0    Total uncertainty 16th percentile in f9.0
 636- 639 F4.2   [yr]        f8.95     Mass fraction formed prior to log(t) = 8.95
                                        from best fit SFH (2)
 641- 644 F4.2   [yr]        Urf8.95   Random uncertainty 84th percentile in f8.95
 646- 649 F4.2   [yr]        Utf8.95   Total uncertainty 84th percentile in f8.95
 651- 654 F4.2   [yr]        Lrf8.95   Random uncertainty 16th percentile in f8.95
 656- 659 F4.2   [yr]        Ltf8.95   Total uncertainty 16th percentile in f8.95
 661- 664 F4.2   [yr]        f8.9      Mass fraction formed prior to log(t) = 8.9
                                        from best fit SFH (2)
 666- 669 F4.2   [yr]        Urf8.9    Random uncertainty 84th percentile in f8.9
 671- 674 F4.2   [yr]        Utf8.9    Total uncertainty 84th percentile in f8.9
 676- 679 F4.2   [yr]        Lrf8.9    Random uncertainty 16th percentile in f8.9
 681- 684 F4.2   [yr]        Ltf8.9    Total uncertainty 16th percentile in f8.9
 686- 689 F4.2   [yr]        f8.85     Mass fraction formed prior to log(t) = 8.85
                                        from best fit SFH (2)
 691- 694 F4.2   [yr]        Urf8.85   Random uncertainty 84th percentile in f8.85
 696- 699 F4.2   [yr]        Utf8.85   Total uncertainty 84th percentile in f8.85
 701- 704 F4.2   [yr]        Lrf8.85   Random uncertainty 16th percentile in f8.85
 706- 709 F4.2   [yr]        Ltf8.85   Total uncertainty 16th percentile in f8.85
 711- 714 F4.2   [yr]        f8.8      Mass fraction formed prior to log(t) = 8.8
                                        from best fit SFH (2)
 716- 719 F4.2   [yr]        Urf8.8    Random uncertainty 84th percentile in f8.8
 721- 724 F4.2   [yr]        Utf8.8    Total uncertainty 84th percentile in f8.8
 726- 729 F4.2   [yr]        Lrf8.8    Random uncertainty 16th percentile in f8.8
 731- 734 F4.2   [yr]        Ltf8.8    Total uncertainty 16th percentile in f8.8
 736- 739 F4.2   [yr]        f8.75     Mass fraction formed prior to log(t) = 8.75
                                        from best fit SFH (2)
 741- 744 F4.2   [yr]        Urf8.75   Random uncertainty 84th percentile in f8.75
 746- 749 F4.2   [yr]        Utf8.75   Total uncertainty 84th percentile in f8.75
 751- 754 F4.2   [yr]        Lrf8.75   Random uncertainty 16th percentile in f8.75
 756- 759 F4.2   [yr]        Ltf8.75   Total uncertainty 16th percentile in f8.75
 761- 764 F4.2   [yr]        f8.7      Mass fraction formed prior to log(t) = 8.7
                                        from best fit SFH (2)
 766- 769 F4.2   [yr]        Urf8.7    Random uncertainty 84th percentile in f8.7
 771- 774 F4.2   [yr]        Utf8.7    Total uncertainty 84th percentile in f8.7
 776- 779 F4.2   [yr]        Lrf8.7    Random uncertainty 16th percentile in f8.7
 781- 784 F4.2   [yr]        Ltf8.7    Total uncertainty 16th percentile in f8.7
 786- 789 F4.2   [yr]        f8.6      Mass fraction formed prior to log(t) = 8.6
                                        from best fit SFH (2)
 791- 793 F3.1   [yr]        Urf8.6    Random uncertainty 84th percentile in f8.6
 795- 798 F4.2   [yr]        Utf8.6    Total uncertainty 84th percentile in f8.6
 800- 803 F4.2   [yr]        Lrf8.6    Random uncertainty 16th percentile in f8.6
 805- 808 F4.2   [yr]        Ltf8.6    Total uncertainty 16th percentile in f8.6
 810- 813 F4.2   [yr]        f8.5      Mass fraction formed prior to log(t) = 8.5
                                        from best fit SFH (2)
 815- 817 F3.1   [yr]        Urf8.5    Random uncertainty 84th percentile in f8.5
 819- 822 F4.2   [yr]        Utf8.5    Total uncertainty 84th percentile in f8.5
 824- 827 F4.2   [yr]        Lrf8.5    Random uncertainty 16th percentile in f8.5
 829- 832 F4.2   [yr]        Ltf8.5    Total uncertainty 16th percentile in f8.5
 834- 837 F4.2   [yr]        f8.4      Mass fraction formed prior to log(t) = 8.4
                                        from best fit SFH (2)
 839- 841 F3.1   [yr]        Urf8.4    Random uncertainty 84th percentile in f8.4
 843- 846 F4.2   [yr]        Utf8.4    Total uncertainty 84th percentile in f8.4
 848- 851 F4.2   [yr]        Lrf8.4    Random uncertainty 16th percentile in f8.4
 853- 856 F4.2   [yr]        Ltf8.4    Total uncertainty 16th percentile in f8.4
