 183-188 A6     ---     mask    Name of slitmask
--------------------------------------------------------------------------------
Scl      00 59 36.96 -33 41 55.7              18.015 0.029              16.791 0.026 4429  18  67 1.07 0.05 1.89 +6.11 0.10 +6.20 0.17 +6.07 0.13 +4.97 0.12 +3.43 0.11  102.57  2.11 scl1   1005366             
Scl      00 59 37.10 -33 43 06.2              18.196 0.027              17.139 0.030 4689  37 104 1.33 0.06 1.83 +4.92 0.11 +5.51 0.61 +5.44 0.20 +4.27 0.15 +2.71 0.19  111.59  2.15 scl1   1005429             
Scl      00 59 37.57 -33 43 33.3              17.942 0.024              16.734 0.019 4476  21  67 1.06 0.05 1.89 +6.20 0.10 +6.23 0.19 +6.18 0.11 +5.32 0.18 +3.56 0.11  116.11  2.11 scl1   1005527             
Scl      00 59 37.62 -33 40 21.7              17.808 0.027              16.614 0.022 4440  21  78 1.02 0.05 1.90 +5.44 0.10 +5.46 0.56 +5.75 0.13 +4.44 0.12 +3.03 0.12  124.33  2.11 scl1   1005472             
Scl      00 59 38.05 -33 40 32.2              17.708 0.025              16.443 0.024 4349  25  66 0.91 0.05 1.93 +5.72 0.10 +5.68 0.34 +6.02 0.12 +4.83 0.23 +3.30 0.12  105.74  2.12 scl5   1005565             
Scl      00 59 38.12 -33 35 07.9              17.472 0.021              16.157 0.016 3968  64  63 0.77 0.06 1.96 +6.06 0.10 +6.46 0.43 +5.48 0.28 +4.23 0.15             110.27  2.11 scl5   1005457             
Scl      00 59 38.40 -33 45 10.5              17.396 0.025              16.040 0.024 4167  21  64 0.69 0.07 1.98 +5.85 0.10 +5.82 0.61 +5.89 0.13 +4.72 0.14 +3.31 0.12  114.17  2.12 scl1   1005745             
Scl      00 59 38.42 -33 37 27.8              18.653 0.034              17.622 0.026 4716  53 117 1.54 0.06 1.78 +5.47 0.11            +6.02 0.19 +5.03 0.21 +3.11 0.21  109.76  2.23 scl2   1005561             
Scl      00 59 38.64 -33 43 59.4              19.252 0.040              18.229 0.032 4738  48 128 1.78 0.06 1.72 +5.76 0.11 +6.54 0.23 +6.02 0.18 +4.70 0.20 +3.16 0.19  117.32  2.21 scl1   1005765             
Scl      00 59 38.74 -33 35 29.7              20.229 0.067              19.513 0.048 5565 125 278 2.49 0.07 1.55 +5.84 0.26 +7.02 0.58 +6.74 0.37                         94.44  4.49 scl2   1200009             
Scl      00 59 38.94 -33 36 13.5              18.355 0.030              17.160 0.026 4417  29  70 1.23 0.05 1.85 +6.00 0.10 +6.27 0.26 +6.10 0.14 +5.12 0.15 +3.50 0.12  123.03  2.16 scl5   1005651             
Scl      00 59 40.31 -33 39 44.8              19.042 0.038              17.978 0.031 4676  50 113 1.65 0.06 1.75 +5.71 0.11 +6.43 0.29 +6.09 0.22 +5.27 0.28 +3.51 0.17   90.08  2.28 scl5   1005983             
Scl      00 59 40.33 -33 36 06.4              17.423 0.022              16.092 0.021 4249  16  64 0.73 0.06 1.97 +5.86 0.10 +6.08 0.18 +6.00 0.12 +4.79 0.15 +3.44 0.11  112.40  2.11 scl2   1005921             
Scl      00 59 40.42 -33 45 51.9              19.833 0.057              18.807 0.042 4728  74 157 2.02 0.07 1.66 +5.27 0.13            +5.72 0.39 +3.73 0.54 +3.08 0.29  109.50  2.48 scl1   1006155             
Scl      00 59 40.46 -33 35 53.8              17.639 0.022              16.427 0.019 4413  31  74 0.94 0.05 1.92 +5.04 0.10 +5.46 0.56 +5.72 0.13 +4.46 0.18 +2.90 0.13   99.89  2.12 scl2   1005940             
Scl      00 59 40.70 -33 41 16.6              18.600 0.039              17.557 0.028 4618  41 124 1.50 0.06 1.79 +5.35 0.10 +6.00 0.28 +5.51 0.24 +4.45 0.15 +3.08 0.15   94.55  2.16 scl1   1006107             
Scl      00 59 40.77 -33 41 29.3              19.692 0.050              18.728 0.040 4946 150 166 2.03 0.07 1.66 +5.07 0.14 +6.24 0.55 +5.93 0.27 +4.07 0.25 +3.24 0.25  111.44  2.69 scl1   1006118             
Scl      00 59 41.03 -33 37 45.0              18.150 0.029              17.080 0.024 4664  45  99 1.30 0.05 1.84 +5.21 0.11 +6.02 0.38            +4.01 0.23 +2.90 0.19  118.53  2.17 scl5   1006091             
Scl      00 59 41.55 -33 40 29.5              19.977 0.066              18.985 0.050 4823  86 191 2.12 0.07 1.64 +6.20 0.12 +6.45 0.60 +6.49 0.28 +4.82 0.62 +3.85 0.27  106.21  2.90 scl5   1006241             
Scl      00 59 41.75 -33 39 12.2              20.085 0.067              19.171 0.051 4941  96 224 2.25 0.07 1.61 +6.23 0.13 +6.65 0.72 +6.25 0.37 +5.01 0.62             103.18  3.05 scl5   1006240             
Scl      00 59 42.13 -33 41 37.6              19.710 0.067              18.814 0.041 5058  73 232 2.12 0.08 1.64 +5.69 0.12 +6.29 0.43 +5.68 0.37 +4.53 0.23 +3.27 0.28   98.68  2.41 scl1   1006374             
Scl      00 59 42.56 -33 38 16.7              17.811 0.028              16.546 0.024 4357  20  64 0.95 0.06 1.92 +6.26 0.10 +5.97 0.33 +5.85 0.15 +4.97 0.14 +3.52 0.11  114.85  2.12 scl5   1006400             
Scl      00 59 42.71 -33 43 54.9              19.273 0.041              18.293 0.034 4841  43 140 1.85 0.06 1.71 +6.08 0.10 +6.29 0.30 +6.44 0.14 +4.80 0.16 +3.63 0.15  108.51  2.19 scl1   1006544             
Scl      00 59 43.23 -33 37 01.5              19.570 0.051              18.586 0.037 4822  68 164 1.96 0.07 1.68 +6.16 0.11 +6.51 0.36 +6.25 0.23 +4.99 0.35 +3.45 0.24   98.05  2.41 scl2   1006511             
Scl      00 59 43.89 -33 35 09.9              19.949 0.062              19.037 0.049 4913  96 213 2.20 0.07 1.62 +6.40 0.11            +6.41 0.24 +5.39 0.46 +3.09 0.54  111.98  2.60 scl2   1006600             
Scl      00 59 44.32 -33 33 41.6              18.248 0.021              17.170 0.017 4685 103  87 1.33 0.05 1.83 +5.21 0.11            +5.78 0.19 +4.43 0.23 +2.92 0.18  105.04  2.17 scl2   1006649             
Scl      00 59 44.41 -33 43 00.3              19.026 0.036              17.933 0.030 4665  34 102 1.61 0.06 1.76 +6.09 0.10 +5.67 0.63 +6.25 0.14 +4.77 0.16 +3.56 0.13  110.15  2.17 scl1   1006833             
Scl      00 59 44.73 -33 49 12.8              17.813 0.026              16.636 0.023 4517  28  81 1.05 0.05 1.90 +5.59 0.10 +5.15 0.71 +6.00 0.12 +4.60 0.17 +3.12 0.12  104.05  2.11 scl1   1007039             
Scl      00 59 44.91 -33 44 34.8              18.065 0.029              16.829 0.025 4466  19  64 1.07 0.05 1.89 +6.45 0.10 +6.22 0.19 +5.91 0.15 +5.20 0.13 +3.46 0.12   99.70  2.11 scl1   1006970             
Scl      00 59 45.32 -33 43 53.6              17.869 0.029              16.689 0.021 4575  24  81 1.06 0.05 1.89 +5.67 0.10 +5.85 0.26 +5.85 0.12 +4.64 0.13 +3.04 0.12  119.90  2.11 scl1   1007034             
Scl      00 59 45.75 -33 43 38.3              19.981 0.081              19.045 0.048 5010  68 242 2.18 0.08 1.63 +6.43 0.11 +6.21 0.52 +6.52 0.19 +5.23 0.21 +3.93 0.19  120.20  2.39 scl1   1007123             
Scl      00 59 46.08 -33 46 59.7              19.766 0.065              18.826 0.049 5028  77 211 2.09 0.08 1.65 +6.02 0.11 +6.55 0.30 +5.72 0.38 +4.82 0.25 +3.31 0.28  111.52  2.32 scl1   1007263             
Scl      00 59 46.14 -33 41 58.5              19.824 0.056              18.860 0.049 4860  72 185 2.09 0.07 1.65 +5.73 0.12 +6.43 0.48 +6.00 0.26 +4.55 0.21 +2.94 0.41  104.99  2.63 scl1   1007179             
Scl      00 59 46.16 -33 48 38.9              17.557 0.025              16.270 0.021 4345  15  67 0.83 0.06 1.95 +5.93 0.10 +6.18 0.14 +5.96 0.12 +4.83 0.13 +3.41 0.11  108.24  2.11 scl1   1007312             
Scl      00 59 46.29 -33 43 09.9              20.068 0.066              19.154 0.063 5053  69 230 2.24 0.08 1.61 +6.33 0.11 +6.19 0.55 +6.05 0.29 +4.75 0.23 +3.38 0.29  104.12  2.31 scl1   1007219             
Scl      00 59 46.41 -33 41 23.2              17.227 0.025              15.695 0.022 3892  13  62 0.43 0.08 2.04 +6.33 0.10 +6.00 0.25 +5.71 0.19 +5.19 0.21 +3.38 0.11  109.21  2.11 scl5   1007206             
Scl      00 59 46.52 -33 40 45.0              18.512 0.033              17.435 0.024 4681  45 103 1.43 0.06 1.81 +5.85 0.11 +6.01 0.48 +6.18 0.15 +4.85 0.20 +2.84 0.32  117.08  2.20 scl5   1007217             
Scl      00 59 46.61 -33 46 06.7              20.096 0.069              19.303 0.070 5523  88 276 2.37 0.07 1.58 +5.38 0.21                       +4.91 0.43 +3.80 0.32  125.33  2.66 scl1   1007350             
Scl      00 59 46.68 -33 47 19.5              19.576 0.054              18.566 0.044 4825  80 162 1.93 0.07 1.69 +4.76 0.17            +6.06 0.22 +4.00 0.32 +2.82 0.37  101.85  2.27 scl1   1007391             
Scl      00 59 46.83 -33 39 50.2              18.237 0.030              17.071 0.027 4440  33  80 1.22 0.05 1.85 +5.80 0.10 +6.14 0.25 +6.15 0.14 +4.62 0.45 +3.41 0.12  113.64  2.15 scl5   1007258             
Scl      00 59 46.90 -33 43 45.6              18.204 0.029              17.037 0.021 4486  20  76 1.20 0.05 1.86 +6.09 0.10 +6.12 0.18 +6.25 0.11 +4.98 0.13 +3.65 0.11  113.52  2.12 scl1   1007349             
Scl      00 59 47.12 -33 36 21.2              20.007 0.072              19.046 0.048 4869  91 213 2.17 0.08 1.63 +5.76 0.13            +6.14 0.30 +5.65 0.32 +3.13 0.45  114.24  2.62 scl2   1007241             
Scl      00 59 47.26 -33 46 30.3              17.454 0.023              16.063 0.021 4187  14  57 0.67 0.07 1.98 +6.29 0.10 +6.13 0.19 +5.85 0.15 +5.08 0.13 +3.39 0.11  104.28  2.10 scl1   1007490             
Scl      00 59 47.40 -33 40 16.2              19.779 0.068              18.839 0.049 4892  98 219 2.10 0.08 1.65 +5.28 0.20            +6.04 0.38 +4.41 0.62             126.95  3.01 scl5   1007377             
Scl      00 59 47.43 -33 40 22.8              18.993 0.041              18.057 0.033 4998  65 156 1.79 0.07 1.72 +5.44 0.13            +5.87 0.31 +4.68 0.26 +3.22 0.30  119.87  2.30 scl5   1007395             
Scl      00 59 47.60 -33 36 42.1              18.644 0.035              17.662 0.025 4894  59 129 1.60 0.06 1.76 +4.81 0.15                       +4.07 0.28             115.37  2.26 scl2   1007346             
Scl      00 59 47.65 -33 37 01.9              20.302 0.090              19.559 0.067 5805 122 347 2.50 0.08 1.55 +6.38 0.21            +6.13 0.82 +5.14 0.77             121.51  5.10 scl2   1007356             
Scl      00 59 47.67 -33 47 29.2              17.744 0.026              16.426 0.021 4319  15  57 0.86 0.06 1.94 +6.40 0.10 +6.28 0.18 +6.00 0.14 +5.29 0.13 +3.62 0.11  111.25  2.11 scl1   1007618             
Scl      00 59 48.43 -33 40 35.5              19.718 0.063              18.790 0.039 4888  84 204 2.09 0.07 1.65 +5.90 0.13                       +4.71 0.46 +3.36 0.38  108.08  2.76 scl5   1007627             
Scl      00 59 48.86 -33 42 17.7              18.067 0.033              16.887 0.021 4469  30  80 1.14 0.05 1.87 +6.17 0.10 +6.02 0.35 +6.09 0.15 +5.07 0.19 +3.52 0.13  113.39  2.15 scl5   1007750             
Scl      00 59 49.07 -33 40 16.9              19.887 0.064              18.943 0.052 4926  82 209 2.14 0.08 1.64 +6.41 0.11 +6.61 0.41 +6.66 0.26 +5.14 0.50 +4.04 0.24  116.33  2.68 scl5   1007749             
Scl      00 59 49.10 -33 44 04.6              18.067 0.027              16.885 0.025 4482  23  73 1.13 0.05 1.87 +5.56 0.10 +6.18 0.15 +6.02 0.12 +4.66 0.13 +3.17 0.12   94.11  2.12 scl1   1007842             
Scl      00 59 49.29 -33 41 17.1              18.836 0.038              17.771 0.031 4674  48 114 1.56 0.06 1.77 +6.20 0.10 +6.21 0.43 +5.91 0.33 +5.09 0.19 +3.47 0.16  101.48  2.26 scl5   1007815             
Scl      00 59 49.42 -33 46 46.6              18.937 0.043              17.910 0.036 4758  51 135 1.65 0.07 1.75 +5.52 0.11 +5.74 0.57 +6.09 0.15 +4.78 0.16 +3.00 0.18  107.25  2.18 scl1   1007969             
Scl      00 59 49.57 -33 35 35.8              19.551 0.044              18.528 0.029 4811  55 132 1.90 0.07 1.69 +5.99 0.11            +6.41 0.20 +4.68 0.21 +3.51 0.22  111.18  2.43 scl2   1007747             
Scl      00 59 49.57 -33 37 52.4              18.849 0.046              17.804 0.025 4708  52 133 1.60 0.07 1.76 +5.31 0.11 +5.89 0.60 +5.78 0.24 +4.56 0.19 +3.32 0.18  104.20  2.23 scl5   1200017             
Scl      00 59 50.08 -33 48 42.7              19.793 0.060              18.877 0.045 5032  81 206 2.13 0.07 1.64 +5.76 0.12            +6.60 0.16 +5.00 0.28 +3.48 0.27  100.36  2.38 scl1   1008150             
Scl      00 59 50.21 -33 51 23.3              19.782 0.059              18.765 0.046 4728  84 168 2.01 0.07 1.67 +5.57 0.12 +5.77 0.98 +5.93 0.28 +3.72 0.54 +2.88 0.35  115.32  2.27 scl1   1008226             
Scl      00 59 50.42 -33 38 04.0              19.813 0.069              18.884 0.051 4958  87 225 2.12 0.08 1.64 +6.30 0.11 +6.17 0.61 +6.83 0.19 +5.07 0.31 +3.58 0.27  116.26  2.46 scl2   1007989             
Scl      00 59 50.43 -33 45 56.6              20.020 0.073              19.104 0.049 5038  95 232 2.22 0.07 1.62 +5.42 0.15 +6.58 0.36 +5.65 0.53 +4.37 0.48 +2.83 0.65   98.53  2.66 scl1   1008159             
Scl      00 59 50.48 -33 36 10.7              20.044 0.075              19.100 0.045 4861  88 227 2.20 0.08 1.62 +6.22 0.11            +5.87 0.41 +4.81 0.32 +3.43 0.32  108.76  3.37 scl2   1007948             
Scl      00 59 50.81 -33 36 20.5              18.351 0.030              17.185 0.024 4525  25  77 1.26 0.05 1.84 +6.34 0.10 +6.43 0.23 +6.21 0.13 +5.11 0.14 +3.56 0.12  111.71  2.13 scl2   1008035             
Scl      00 59 50.99 -33 38 36.4              18.998 0.041              17.975 0.031 4668  56 130 1.68 0.06 1.74 +5.33 0.11            +5.83 0.23 +4.48 0.25 +3.26 0.17  111.02  2.27 scl2   1008106             
Scl      00 59 51.00 -33 48 54.8              18.053 0.025              16.933 0.022 4580  37  87 1.20 0.05 1.86 +5.24 0.10 +6.08 0.15 +5.59 0.16 +4.33 0.15 +2.94 0.13  113.87  2.12 scl1   1008328             
Scl      00 59 51.53 -33 44 02.4              18.358 0.031              17.314 0.029 4773  40 110 1.41 0.06 1.81 +4.89 0.11            +5.20 0.41 +4.05 0.15 +2.60 0.26  134.68  2.13 scl1   1008326             
Scl      00 59 51.61 -33 36 51.7              20.245 0.084              19.428 0.072 5379 117 307 2.41 0.08 1.57 +6.12 0.16                       +4.69 0.58 +3.51 0.59  117.50  3.17 scl2   1008200             
Scl      00 59 51.90 -33 47 43.3              17.984 0.025              16.760 0.019 4434  18  63 1.06 0.05 1.89 +6.29 0.10 +6.30 0.19 +6.06 0.13 +5.16 0.13 +3.51 0.11  114.39  2.11 scl1   1008505             
Scl      00 59 51.90 -33 41 45.8              18.732 0.038              17.578 0.027 4533  31  90 1.42 0.06 1.81 +6.42 0.10 +6.64 0.22 +6.37 0.16 +5.58 0.21 +3.82 0.13  111.20  2.19 scl5   1008349             
Scl      00 59 51.99 -33 42 36.0              18.010 0.028              16.823 0.026 4510  30  76 1.11 0.05 1.88 +6.07 0.10            +6.12 0.13 +5.16 0.19 +3.52 0.12  110.86  2.13 scl5   1008390             
Scl      00 59 52.12 -33 40 21.4              19.170 0.040              18.170 0.036 4795  54 136 1.78 0.06 1.72 +5.93 0.11 +6.44 0.42 +6.23 0.20 +5.05 0.20 +3.37 0.21  119.54  2.27 scl5   1008361             
Scl      00 59 52.14 -33 40 14.6              20.051 0.068              19.097 0.047 4893  94 206 2.19 0.07 1.62 +5.17 0.20            +6.03 0.35 +4.07 0.56 +2.94 0.61  106.40  3.06 scl2   1008375             
Scl      00 59 52.28 -33 44 54.5              17.150 0.026              15.743 0.019 4230  14  58 0.55 0.08 2.01 +5.51 0.10 +5.85 0.15 +5.69 0.11 +4.49 0.12 +3.05 0.11  116.82  2.10 scl1   1008522             
Scl      00 59 52.39 -33 41 28.0              18.046 0.025              16.804 0.022 4417  23  60 1.06 0.05 1.89 +6.28 0.10 +6.45 0.19 +6.24 0.14 +5.38 0.17 +3.66 0.12  110.51  2.13 scl5   1008475             
Scl      00 59 52.64 -33 38 56.1              18.494 0.034              17.430 0.027 4569  41 110 1.44 0.06 1.80 +5.72 0.10 +5.53 0.72 +6.00 0.16 +4.58 0.27 +3.28 0.14  105.37  2.16 scl2   1008462             
Scl      00 59 52.68 -33 43 04.0              18.749 0.040              17.673 0.026 4597  54 114 1.52 0.06 1.78 +5.71 0.11            +5.98 0.20 +4.95 0.26 +3.29 0.17  116.95  2.21 scl5   1008579             
Scl      00 59 52.85 -33 45 18.5              18.023 0.028              16.907 0.019 4586  34  92 1.19 0.05 1.86 +5.22 0.10 +5.90 0.26 +5.51 0.17 +4.23 0.14 +2.83 0.14  100.52  2.12 scl1   1008666             
Scl      00 59 52.85 -33 44 39.6              18.280 0.030              17.076 0.023 4487  27  66 1.19 0.05 1.86 +6.35 0.10 +6.02 0.38 +6.26 0.14 +5.32 0.21 +3.66 0.12  112.76  2.14 scl5   1008651             
Scl      00 59 53.01 -33 35 14.0              19.507 0.039              18.592 0.033 5015  63 159 2.02 0.07 1.66 +5.73 0.12 +6.13 0.64 +6.22 0.25 +4.73 0.26 +2.75 0.74  121.26  2.40 scl2   1008460             
Scl      00 59 53.01 -33 39 18.8              17.353 0.026              15.905 0.027 4177  15  58 0.57 0.08 2.01 +6.26 0.10 +6.15 0.21 +5.81 0.16 +5.13 0.15 +3.44 0.11  106.53  2.11 scl2   1008563             
Scl      00 59 53.63 -33 43 15.6              20.057 0.078              19.075 0.054 4803 113 218 2.16 0.08 1.63 +5.09 0.24                                              109.86  3.19 scl5   1008773             
Scl      00 59 54.20 -33 44 28.8              19.768 0.068              18.832 0.040 4905  69 209 2.10 0.08 1.65 +5.74 0.11            +6.40 0.18 +4.74 0.20 +3.56 0.19  108.66  2.36 scl1   1008920             
Scl      00 59 54.21 -33 40 26.8              17.439 0.024              16.044 0.024 4260  16  58 0.66 0.07 1.99 +6.24 0.10 +6.11 0.27 +5.91 0.14 +4.95 0.14 +3.54 0.11   96.68  2.11 scl5   1008833             
Scl      00 59 54.47 -33 37 53.3              17.699 0.023              16.608 0.019 4643  20  79 1.10 0.05 1.88 +6.31 0.10 +6.12 0.22 +6.26 0.12 +5.18 0.14 +3.63 0.11  101.14  2.12 scl2   1008832             
